Port,Plant,Cargo,Vessel_Size,Weather,Labor_Action,Rake_Type,Multi_Port_Discharge,Port_Congestion_Index,Rake_Demand,Rake_Availability,Yard_Capacity,Yard_Usage,Vessel_Queue,Date,Delay_Hours,Delay_Severity,High_Risk,Route_Recommendation
Haldia,JSW_Vijayanagar,Coking_Coal,Panamax,Rain,Medium,Standard_IR,0,5,14,24,31,33,4,2021-01-01,65.24296849996323,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Vizag_Steel,Iron_Ore,Handymax,Clear,Low,Standard_IR,0,4,23,33,31,59,14,2021-01-01,32.091289253260385,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,3,35,33,55,16,10,2021-01-01,53.87722745561593,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Vizag_Steel,Limestone,Handymax,Clear,Low,Captive,0,5,28,25,48,96,7,2021-01-02,43.369361052783105,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,JSW_Vijayanagar,Coking_Coal,Handymax,Clear,Low,Standard_IR,0,6,26,5,30,97,3,2021-01-02,37.876418749016906,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,JSW_Vijayanagar,Limestone,Handymax,Rain,Low,GPWIS,0,1,48,38,72,38,14,2021-01-03,0.331540347221118,0,0,Action: Normal secure operations
Gangavaram,Tata_Steel_Kalinganagar,Limestone,Handymax,Clear,Medium,Standard_IR,0,2,13,48,89,14,13,2021-01-03,31.887070758024898,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Limestone,Panamax,Clear,Low,Standard_IR,0,8,22,18,52,91,5,2021-01-04,51.15234562191845,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,JSW_Vijayanagar,Coking_Coal,Handymax,Clear,Low,Standard_IR,0,3,33,49,66,74,0,2021-01-04,12.952173332204662,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Vizag_Steel,Limestone,Capesize,Clear,Low,GPWIS,0,1,44,36,93,44,0,2021-01-04,0.0,0,0,Action: Normal secure operations
Haldia,Tata_Steel_Kalinganagar,Limestone,Handymax,Clear,Low,Captive,0,8,42,41,86,79,7,2021-01-05,65.07267026084995,2,1,Recommend: Transshipment away from congested port
Gangavaram,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Clear,Low,Captive,0,4,24,39,62,96,9,2021-01-05,18.647805666683112,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Limestone,Capesize,Clear,Medium,Standard_IR,0,6,24,28,37,83,1,2021-01-06,55.17418051999378,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,Tata_Steel_Kalinganagar,Coking_Coal,Handymax,Clear,Low,GPWIS,1,9,40,5,93,16,10,2021-01-06,60.1517404895072,2,1,Recommend: Transshipment away from congested port
Haldia,SAIL_Rourkela,Limestone,Capesize,Clear,Medium,GPWIS,0,7,37,10,72,53,3,2021-01-07,50.923814833901936,2,1,Recommend: Expedite alternative multi-modal transport via truck
Vizag,SAIL_Rourkela,Iron_Ore,Handymax,Cyclone,Low,GPWIS,0,2,19,8,58,81,2,2021-01-07,60.291566784463384,2,1,Recommend: Divert to alternative safe Port
Dhamra,SAIL_Rourkela,Limestone,Panamax,Clear,Low,Standard_IR,0,3,42,5,53,91,8,2021-01-08,53.04122208745874,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,JSW_Vijayanagar,Iron_Ore,Capesize,Clear,Low,Standard_IR,0,8,16,45,56,87,2,2021-01-08,91.88810013199844,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,2,16,42,91,22,12,2021-01-08,53.05254417075518,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Vizag_Steel,Coking_Coal,Panamax,Clear,Medium,Standard_IR,0,10,14,35,60,84,10,2021-01-09,101.8210888150843,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,JSW_Vijayanagar,Iron_Ore,Panamax,Clear,Low,GPWIS,0,9,35,40,68,47,7,2021-01-09,21.604415827615384,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Limestone,Handymax,Rain,Low,Standard_IR,0,3,25,13,29,22,13,2021-01-10,65.74531413652171,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Tata_Steel_Kalinganagar,Limestone,Handymax,Clear,Low,GPWIS,0,9,17,45,59,63,6,2021-01-10,42.52839764835892,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,JSW_Vijayanagar,Coking_Coal,Capesize,Clear,High,GPWIS,0,10,31,49,37,53,0,2021-01-11,109.20400672738946,2,1,Recommend: Transshipment away from congested port
Paradip,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Low,GPWIS,0,8,43,27,44,22,7,2021-01-11,62.414764129889136,2,1,Recommend: Transshipment away from congested port
