Origin Distance,Season Idx,Vessel Age,Port Congestion,Weather Score,Origin,Port,Actual Delay
28,1,3,0.51,0.72,Puerto Bolivar,paradip,24
28,1,5,0.53,0.55,Puerto Bolivar,paradip,25
12,1,5,0.51,0.7,Qinhuangdao,dhamra,24
28,3,27,0.63,0.63,Puerto Bolivar,haldia,31
20,0,20,0.34,0.78,Hay Point,haldia,28
14,3,24,0.61,0.75,Richards Bay,paradip,24
18,1,8,0.51,0.63,Newcastle,vizag,20
20,0,26,0.29,0.81,Hay Point,vizag,25
28,0,29,0.4,0.81,Puerto Bolivar,haldia,27
10,1,5,0.69,0.75,Maputo,paradip,17
14,3,2,0.51,0.72,Richards Bay,haldia,17
12,1,26,0.65,0.57,Qinhuangdao,vizag,30
20,3,22,0.37,0.62,Hay Point,dhamra,24
28,2,24,0.67,0.46,Puerto Bolivar,dhamra,65
28,1,12,0.53,0.59,Puerto Bolivar,dhamra,21
18,2,8,0.89,0.39,Newcastle,paradip,83
14,2,12,0.74,0.35,Richards Bay,paradip,71
10,3,11,0.5,0.64,Maputo,vizag,12
28,0,17,0.59,0.84,Puerto Bolivar,haldia,27
18,1,3,0.64,0.76,Newcastle,vizag,17
18,1,12,0.57,0.7,Newcastle,dhamra,20
14,1,12,0.64,0.62,Richards Bay,vizag,16
18,3,17,0.36,0.6,Newcastle,paradip,11
20,0,3,0.41,0.88,Hay Point,paradip,17
12,0,19,0.5,0.87,Qinhuangdao,dhamra,24
14,2,10,0.57,0.44,Richards Bay,dhamra,50
12,0,22,0.46,0.83,Qinhuangdao,dhamra,30
18,2,7,0.87,0.48,Newcastle,haldia,81
10,0,13,0.43,0.9,Maputo,vizag,33
28,0,12,0.53,0.87,Puerto Bolivar,paradip,15
10,2,1,0.89,0.42,Maputo,dhamra,100
20,1,13,0.52,0.57,Hay Point,dhamra,20
14,3,22,0.5,0.8,Richards Bay,paradip,29
12,2,18,0.58,0.23,Qinhuangdao,vizag,54
22,1,29,0.65,0.58,Murmansk,vizag,37
18,0,12,0.39,0.88,Newcastle,vizag,3
22,2,24,0.6,0.31,Murmansk,haldia,70
10,0,16,0.29,0.72,Maputo,paradip,19
18,0,27,0.42,0.96,Newcastle,paradip,16
10,1,11,0.58,0.72,Maputo,dhamra,16
22,1,27,0.49,0.69,Murmansk,dhamra,30
18,2,5,0.63,0.28,Newcastle,dhamra,78
20,2,15,0.82,0.25,Hay Point,vizag,64
20,1,23,0.44,0.82,Hay Point,vizag,24
10,1,22,0.63,0.73,Maputo,vizag,32
12,0,6,0.26,0.9,Qinhuangdao,haldia,15
20,3,27,0.32,0.76,Hay Point,paradip,24
18,1,3,0.35,0.63,Newcastle,dhamra,21
18,2,23,0.63,0.4,Newcastle,haldia,76
22,0,24,0.51,0.74,Murmansk,vizag,25
22,2,5,0.77,0.45,Murmansk,vizag,88
18,3,3,0.34,0.8,Newcastle,dhamra,24
10,1,27,0.45,0.73,Maputo,vizag,16
22,1,29,0.59,0.66,Murmansk,vizag,38
14,3,6,0.6,0.66,Richards Bay,vizag,9
10,0,4,0.45,0.79,Maputo,haldia,20
22,2,9,0.84,0.27,Murmansk,dhamra,72
14,1,9,0.46,0.83,Richards Bay,paradip,19
10,1,13,0.5,0.62,Maputo,vizag,15
22,2,29,0.63,0.28,Murmansk,dhamra,55
12,0,22,0.52,0.93,Qinhuangdao,dhamra,22
28,0,20,0.46,0.83,Puerto Bolivar,dhamra,25
20,2,23,0.89,0.45,Hay Point,dhamra,80
14,3,24,0.52,0.61,Richards Bay,haldia,27
12,2,17,0.55,0.3,Qinhuangdao,haldia,45
20,3,15,0.42,0.69,Hay Point,paradip,20
12,0,19,0.47,0.78,Qinhuangdao,haldia,15
28,2,17,0.59,0.47,Puerto Bolivar,dhamra,76
12,1,3,0.5,0.57,Qinhuangdao,vizag,36
14,0,8,0.5,0.84,Richards Bay,vizag,29
12,3,11,0.3,0.72,Qinhuangdao,paradip,26
22,0,29,0.46,0.94,Murmansk,dhamra,40
12,2,8,0.84,0.21,Qinhuangdao,vizag,63
18,1,25,0.37,0.57,Newcastle,dhamra,40
18,3,9,0.59,0.67,Newcastle,dhamra,11
18,1,8,0.4,0.67,Newcastle,haldia,14
12,2,12,0.62,0.23,Qinhuangdao,vizag,70
28,3,26,0.35,0.76,Puerto Bolivar,vizag,40
14,3,24,0.51,0.74,Richards Bay,dhamra,24
10,1,3,0.67,0.82,Maputo,vizag,16
22,3,11,0.4,0.71,Murmansk,dhamra,23
14,0,23,0.35,0.7,Richards Bay,dhamra,19
14,2,9,0.77,0.21,Richards Bay,paradip,62
18,1,20,0.38,0.7,Newcastle,vizag,38
14,2,23,0.82,0.46,Richards Bay,paradip,82
10,1,19,0.53,0.85,Maputo,vizag,34
10,3,16,0.55,0.68,Maputo,haldia,16
22,3,19,0.41,0.71,Murmansk,dhamra,35
18,1,28,0.67,0.83,Newcastle,dhamra,14
10,3,27,0.58,0.65,Maputo,haldia,39
18,2,17,0.56,0.27,Newcastle,vizag,70
12,2,4,0.57,0.37,Qinhuangdao,paradip,58
10,3,17,0.46,0.61,Maputo,haldia,16
18,3,28,0.56,0.73,Newcastle,haldia,34
18,2,6,0.56,0.41,Newcastle,dhamra,63
14,1,24,0.58,0.67,Richards Bay,dhamra,30
22,0,19,0.36,0.93,Murmansk,haldia,44
18,1,8,0.4,0.56,Newcastle,paradip,6
14,3,15,0.62,0.65,Richards Bay,paradip,8
20,1,11,0.65,0.73,Hay Point,dhamra,22
10,0,9,0.59,0.78,Maputo,haldia,18
10,0,20,0.34,0.77,Maputo,dhamra,33
20,3,25,0.35,0.7,Hay Point,paradip,36
22,1,17,0.56,0.78,Murmansk,dhamra,19
14,2,9,0.6,0.53,Richards Bay,haldia,43
28,3,9,0.52,0.69,Puerto Bolivar,vizag,23
22,0,9,0.45,0.75,Murmansk,haldia,18
22,3,20,0.4,0.65,Murmansk,dhamra,27
28,1,3,0.67,0.83,Puerto Bolivar,dhamra,14
